Chữ số,F1-score
0,0.9798792756539235
1,0.9775668679896462
2,0.9736070381231672
3,0.9649036085022245
4,0.9713701431492843
5,0.9646266142616507
6,0.9843587069864442
7,0.9644768856447689
8,0.9631190727081138
9,0.9598413485374319
Trung bình,0.9704523390961245
